SA2_CODE,SA2_NAME_BOUNDARY,listing_count,occupied_nights,avg_occupancy,avg_availability_365,total_reviews,avg_reviews_per_listing,avg_review_score,avg_price,SA2_NAME,population,children_0_14,young_adults_20_34,older_65_plus,pct_children_0_14,pct_young_adults_20_34,pct_older_65_plus,listings_per_1000_people,occupied_nights_per_1000_people,reviews_per_1000_people
122021690,Mona Vale - Warriewood (North),73,4052,55.50684931506849,191.2876712328767,2778,38.054794520547944,4.836545454545455,,Mona Vale - Warriewood (North),14944.0,2483.0,2199.0,3572.0,16.615364025695932,14.714935760171304,23.902569593147753,4.884903640256959,271.1456102783726,185.89400428265523
120031678,Burwood (NSW),88,6074,69.02272727272727,159.6818181818182,1345,15.284090909090908,4.6193506493506495,,Burwood (NSW),18171.0,1425.0,8937.0,1998.0,7.842166088822849,49.18276374442793,10.99554234769688,4.842881514501129,334.26888998954377,74.01904132959112
121021404,Berowra - Brooklyn - Cowan,56,4290,76.60714285714286,230.91071428571428,4407,78.69642857142857,4.880192307692308,,Berowra - Brooklyn - Cowan,11729.0,2233.0,1475.0,2076.0,19.038281183391593,12.57566714979964,17.699718646090886,4.774490578906982,365.7600818484099,375.735356807912
120021675,Leichhardt,86,6442,74.90697674418605,157.96511627906978,3057,35.54651162790697,4.6664102564102565,,Leichhardt,18209.0,3176.0,4097.0,2322.0,17.44192432313691,22.499862705255644,12.751935855895436,4.722939205887198,353.7810972595969,167.88401339996705
117021637,Marrickville - South,66,4080,61.81818181818182,158.36363636363637,2515,38.10606060606061,4.601914893617021,,Marrickville - South,14497.0,1690.0,4514.0,2096.0,11.657584327791957,31.13747671932124,14.4581637580189,4.5526660688418294,281.43753880113127,173.48416913844244
121041414,Crows Nest - Waverton,85,6050,71.17647058823529,191.24705882352941,2758,32.44705882352941,4.716760563380282,,Crows Nest - Waverton,18908.0,2308.0,5619.0,2850.0,12.206473450391368,29.71757986037656,15.072984979902687,4.495451660672731,319.97038290670616,145.86418447218108
117011323,Pagewood - Hillsdale - Daceyville,72,2783,38.65277777777778,203.36111111111111,1043,14.48611111111111,4.654705882352941,,Pagewood - Hillsdale - Daceyville,16059.0,2519.0,4392.0,2279.0,15.685908213462858,27.349150009340555,14.19141914191419,4.483467214645993,173.29846192166386,64.9480042343857
118021564,Kensington (NSW),62,3397,54.79032258064516,182.08064516129033,1367,22.048387096774192,4.4850980392156865,,Kensington (NSW),14318.0,1258.0,6466.0,1378.0,8.786143316105601,45.15993853890208,9.624249196815198,4.33021371699958,237.25380639754155,95.47422824416817
117021636,Marrickville - North,55,3766,68.47272727272727,164.36363636363637,2484,45.163636363636364,4.433571428571429,,Marrickville - North,12880.0,1728.0,3627.0,1689.0,13.41614906832298,28.159937888198762,13.113354037267081,4.270186335403727,292.39130434782606,192.85714285714286
119041668,Arncliffe - Bardwell Valley,74,8606,116.29729729729729,150.28378378378378,4934,66.67567567567568,4.836507936507936,,Arncliffe - Bardwell Valley,17874.0,2727.0,5666.0,2184.0,15.256797583081571,31.699675506322034,12.21886539107083,4.140091753384804,481.48148148148147,276.0434150162247
118021568,Maroubra - West,43,1328,30.88372093023256,198.30232558139534,733,17.046511627906977,4.64483870967742,,Maroubra - West,10756.0,1519.0,3243.0,1544.0,14.122350316102642,30.15061361100781,14.354778728151729,3.9977686872443288,123.46597248047601,68.14801041279287
119041671,Wolli Creek,49,3714,75.79591836734694,138.81632653061226,1630,33.265306122448976,4.703611111111112,,Wolli Creek,12353.0,1027.0,6779.0,448.0,8.313769934428885,54.87735772686797,3.626649396907634,3.9666477778677245,300.65571116328016,131.95175261070185
118021565,Kingsford,63,3039,48.23809523809524,194.03174603174602,1311,20.80952380952381,4.5526,,Kingsford,16380.0,1585.0,7594.0,1740.0,9.676434676434678,46.36141636141636,10.622710622710622,3.8461538461538463,185.53113553113553,80.03663003663003
119041380,Monterey - Brighton-le-Sands - Kyeemagh,51,3752,73.56862745098039,199.6078431372549,2467,48.372549019607845,4.8895,,Monterey - Brighton-le-Sands - Kyeemagh,13690.0,1949.0,2605.0,2971.0,14.236669101533966,19.028487947406866,21.70197224251278,3.725346968590212,274.06866325785245,180.2045288531775
